step,par,f
1840,a,0.4324456588563164
1840,b,0.9133200000126439
1840,r,0.2990568498243022
1841,a,2.109580197848123
1841,b,0.036063345487898385
1841,r,0.68923471295102
1842,a,0.12446925253476433
1842,b,0.7717107450051531
1842,r,0.6881228510070299
1843,a,1.4418910441016226
1843,b,0.3699090334881615
1843,r,0.44846194309662457
1844,a,0.8967585476558012
1844,b,1.0515236741469896
1844,r,0.13971439454910525
1845,a,0.43395808479514
1845,b,0.1686925372405338
1845,r,0.3762385510524705
1846,a,0.25053510387043515
1846,b,0.5521606901966156
1846,r,0.5315292386692576
1847,a,0.17030633626523964
1847,b,0.6349807348977183
1847,r,0.47281112866615443
1848,a,0.8950027339714397
1848,b,0.8505096683365752
1848,r,0.06700155480484148
1849,a,0.5453167208687867
1849,b,0.6698874044709444
1849,r,0.2921279410982424
1850,a,0.5449863178382929
1850,b,0.047076188788636585
1850,r,0.6002930279143511
1851,a,2.403467973674717
1851,b,0.2379871407057578
1851,r,0.3668360208714175
1852,a,2.7647973094815756
1852,b,0.7217778116247644
1852,r,0.0860197324219634
1853,a,0.7129547560310461
1853,b,0.8003919505238795
1853,r,0.9774554166709162
1854,a,0.3552423773840023
1854,b,0.41140406244105565
1854,r,0.5772940221121038
1855,a,0.5815337324368748
1855,b,0.07166847470169474
1855,r,0.16025347150971642
1856,a,0.3553479169869362
1856,b,0.15640640703605724
1856,r,0.15932363961021861
1857,a,0.01706731002207996
1857,b,1.2353627072850413
1857,r,0.46269296222412254
1858,a,0.21684633579104617
1858,b,3.7276112595120776
1858,r,0.7822090930961744
1859,a,1.080449019422455
1859,b,1.6847843112262022
1859,r,0.5748222483513451
1860,a,1.7943192245631547
1860,b,2.695087742151534
1860,r,0.7822740139270258
1861,a,0.23318551724593137
1861,b,0.32491218465891814
1861,r,0.5715670852143526
1862,a,0.01472230002318531
1862,b,0.19642596600950718
1862,r,0.31999076829538864
1863,a,1.5544197089674194
1863,b,0.01519769863605583
1863,r,0.3129683115197416
1864,a,1.232809965752738
1864,b,1.3520131149942154
1864,r,0.11465147766108326
1865,a,0.825197702943349
1865,b,1.7536883243134433
1865,r,0.6550098842134038
1866,a,0.5704019418260788
1866,b,0.5574390320593255
1866,r,0.24267685133175812
1867,a,2.8355183418542906
1867,b,1.4229548286513864
1867,r,0.04564219876320839
1868,a,2.192503114937874
1868,b,0.35876954979513653
1868,r,0.12249215247122032
1869,a,0.7727577563016336
1869,b,0.5745222847602905
1869,r,0.3479013287203678
1870,a,0.8634693037444463
1870,b,0.06776872271614398
1870,r,0.1478468573906356
1871,a,0.9647094209477708
1871,b,0.08594746113684404
1871,r,0.460753154671284
1872,a,0.38886997511212473
1872,b,0.3554569986128265
1872,r,0.1340445977334139
1873,a,1.1362583256178398
1873,b,1.312549332105173
1873,r,1.419758150074253
1874,a,0.12128497403567108
1874,b,0.20056987997322762
1874,r,0.3239073404433109
1875,a,1.1233610229874553
1875,b,1.1359710381272219
1875,r,0.3480438486550375
1876,a,1.9855952702962485
1876,b,9.058330801932932
1876,r,0.6601612307508068
1877,a,0.6463155706347018
1877,b,0.8355750187682768
1877,r,0.8052469901245763
1878,a,0.7932636861326213
1878,b,0.5514278355788012
1878,r,0.3279870253615033
1879,a,0.6704178446121085
1879,b,0.7402302045681919
1879,r,0.056901623168924303
1880,a,2.4386499203253
1880,b,0.21164490702924546
1880,r,0.3828377251203397
1881,a,0.4098021087863832
1881,b,1.2890340198005312
1881,r,0.6632300007252081
1882,a,0.45419021914016705
1882,b,1.7090976173344496
1882,r,0.32109220156166624
1883,a,0.9983255156484989
1883,b,0.09784537148782634
1883,r,0.21690980471433602
1884,a,3.7065267580995016
1884,b,2.2398847881411865
1884,r,0.5943885803034126
1885,a,1.6149994853470888
1885,b,0.9508467381601636
1885,r,0.1386496525759717
1886,a,0.45188032335232153
1886,b,0.4817857434537111
1886,r,0.2646092592192052
1887,a,0.07523067239136302
1887,b,0.8671519998282429
1887,r,0.3202640511379966
1888,a,1.3587810678441592
1888,b,0.5489495455128536
1888,r,0.11996250872536979
1889,a,1.090581557917563
1889,b,0.9083328330947713
1889,r,0.9318279841838407
1890,a,1.8786601374919751
1890,b,2.235133492319356
1890,r,0.13133999278833328
1891,a,0.8199693828007197
1891,b,0.6009553737983601
1891,r,0.668667536913109
1892,a,0.018938764909126143
1892,b,1.4681680268654118
1892,r,0.2942723977826599
1893,a,0.21946936424404134
1893,b,1.6804420513998624
1893,r,0.24877785924416168
1894,a,0.44534609005256437
1894,b,0.738756103772099
1894,r,0.5014608053636925
1895,a,0.19608391691279028
1895,b,1.841823776427199
1895,r,0.12907730028005307
1896,a,0.8135202457114509
1896,b,0.7178192057148738
1896,r,0.1998956370174801
1897,a,1.255584038922749
1897,b,0.4327719866481506
1897,r,0.08981568684269285
1898,a,0.23857486360664745
1898,b,0.27302988859431987
1898,r,0.5014954623162745
1899,a,0.05181471493059904
1899,b,1.6436426652121365
1899,r,0.11914360296061292
1900,a,0.2295460200531024
1900,b,0.37402452291227156
1900,r,0.37512441734940083
1901,a,1.7948699632680345
1901,b,0.5664018625516551
1901,r,0.22480497665075247
1902,a,0.8326356400771389
1902,b,1.2131261798897142
1902,r,0.8928853140885007
1903,a,1.530027054234147
1903,b,0.4964944707553755
1903,r,0.2517267285870589
1904,a,1.019548570327869
1904,b,0.009256753908154999
1904,r,0.20267003944627604
1905,a,0.07491635058561397
1905,b,0.43115293372238367
1905,r,0.7878247153975708
1906,a,1.2467264968746397
1906,b,0.21581240997199602
1906,r,0.6489959652711604
1907,a,0.4844195754538748
1907,b,0.1660365399585532
1907,r,0.8795915318808042
1908,a,0.49234775137308484
1908,b,0.47079349724930786
1908,r,0.2047389242255069
1909,a,5.081794137119813
1909,b,1.2356232697664407
1909,r,0.41967903604590895
1910,a,1.0860484199736213
1910,b,0.21574404177421308
1910,r,0.254063215713536
1911,a,0.39321940112967607
1911,b,0.6635819760886044
1911,r,0.7648275261987945
1912,a,2.5712627835930904
1912,b,0.8826728802574701
1912,r,0.0949342105602
1913,a,0.532668870173655
1913,b,0.7599473493081098
1913,r,0.17143127225816965
1914,a,0.34673042391815734
1914,b,0.13634714854571908
1914,r,0.28043092321201996
1915,a,0.5631418638998995
1915,b,1.324980918386513
1915,r,0.5785539590538267
1916,a,0.22689948429257398
1916,b,1.7011429261121762
1916,r,0.13777254004737857
1917,a,1.1177949606775341
1917,b,9.320604243442757
1917,r,0.4994576721822197
1918,a,4.257229559265391
1918,b,0.024573817929186625
1918,r,0.6986337035169238
1919,a,2.1665334893311927
1919,b,0.20973694468666482
1919,r,0.12753526790794228
1920,a,0.302020437055415
1920,b,0.036431914563349085
1920,r,0.21043759207065585
1921,a,0.004274044644766709
1921,b,0.14692157725778832
1921,r,0.41371549711060673
1922,a,0.03309045601166908
1922,b,0.739332344446928
1922,r,0.05253773000070505
1923,a,1.3983883924743332
1923,b,0.6480441051444165
1923,r,0.4787483348087198
1924,a,1.5425270089477843
1924,b,0.7055137661682396
1924,r,0.2024316676121092
1925,a,1.8062559003219487
1925,b,1.1960826336316281
1925,r,0.49293625716237793
1926,a,0.39051162653921945
1926,b,1.8062458694619923
1926,r,0.07511983769325319
1927,a,1.3065556693471494
1927,b,0.595624754128367
1927,r,0.13334751707611373
1928,a,1.9241778058539485
1928,b,0.2789105699968614
1928,r,0.38518379642478834
1929,a,1.9328823064228033
1929,b,1.407143141002342
1929,r,0.1549895114915096
1930,a,0.624014341045406
1930,b,0.8430112988599776
1930,r,0.6839951383400169
1931,a,1.0075481363880008
1931,b,0.7668514974226586
1931,r,0.8225228122005807
1932,a,2.449423132396706
1932,b,0.006501924895958057
1932,r,0.5211689499575758
1933,a,1.087342117872558
1933,b,0.5404962771126215
1933,r,0.2679853737901587
1934,a,1.596988209902981
1934,b,0.16177114172750773
1934,r,0.09953475917663719
1935,a,1.7441776248674319
1935,b,0.8190848315678756
1935,r,0.007218790836405241
1936,a,3.6738376934826755
1936,b,1.3179553981974996
1936,r,0.07862760895334071
1937,a,0.24014908511538993
1937,b,0.4652327925106822
1937,r,0.05395277880084799
1938,a,0.06990741025182402
1938,b,0.8892796090858608
1938,r,0.2723520061845896
1939,a,0.3687653022329958
1939,b,1.5365613270041383
1939,r,1.4433410169757885
1940,a,1.2608000432286197
1940,b,1.9202872315552335
1940,r,0.136904645906332
1941,a,0.17672032768953524
1941,b,1.540360457952049
1941,r,0.3966019551000759
1942,a,0.4633112428555867
1942,b,0.8408924794496038
1942,r,0.24845339071685565
1943,a,0.31946367297844175
