inc_id,id,sampledate,site,rack,inc_depth,light_trt,probe,time_start,time_end,barom_start,barom_end,temp_start,temp_end,o2_sat_start,o2_sat_end,do_start,do_end,column_depth,midge_tubes,tt,ch,tp,or,flag,notes
4,64,2018-08-10,reyk,4,0.5,7,2017,2018-08-10T15:44:00Z,2018-08-10T17:37:00Z,736,736,12.5,12.7,103.1,109.1,10.64,11.2,20.5,6,NA,NA,NA,NA,0,NA
5,65,2018-08-10,reyk,4,0.5,10,2012,2018-08-10T15:44:00Z,2018-08-10T17:40:00Z,736,736,12.6,12.9,96,94,9.88,9.62,19.5,0,NA,NA,NA,NA,0,NA
6,66,2018-08-10,reyk,4,0.5,0,2017,2018-08-10T15:46:00Z,2018-08-10T17:38:00Z,736,736,12.3,12.7,100.8,102.9,10.45,10.57,19.5,0,NA,NA,NA,NA,0,NA
7,67,2018-08-10,reyk,4,0.5,1,2012,2018-08-10T15:48:00Z,2018-08-10T17:41:00Z,736,736,12.6,12.9,107.5,114.3,11.08,11.69,20.5,0,NA,NA,NA,NA,0,NA
8,68,2018-08-10,reyk,4,0.5,3,2017,2018-08-10T15:48:00Z,2018-08-10T17:40:00Z,736,736,12.3,12.6,104,105.8,10.78,10.89,24.5,3,NA,NA,NA,NA,0,NA
9,69,2018-08-10,reyk,4,0.5,7,2012,2018-08-10T15:49:00Z,2018-08-10T17:44:00Z,736,736,12.4,12.8,107.3,112.1,11.1,11.49,21,8,NA,NA,NA,NA,0,NA
10,70,2018-08-10,reyk,4,0.5,10,2017,2018-08-10T15:52:00Z,2018-08-10T17:43:00Z,736,736,12.4,12.6,95.9,94.4,9.92,9.72,22,5,NA,NA,NA,NA,0,NA
11,71,2018-08-10,reyk,4,0.5,0,2012,2018-08-10T15:53:00Z,2018-08-10T17:47:00Z,736,736,12.7,12.9,107.7,115.2,11.07,11.79,23,3,NA,NA,NA,NA,0,NA
12,72,2018-08-10,reyk,4,0.5,1,2017,2018-08-10T15:56:00Z,2018-08-10T17:46:00Z,736,736,12.6,12.6,106.5,114.3,10.96,11.77,21.5,0,NA,NA,NA,NA,0,NA
13,73,2018-08-10,reyk,2,0.5,3,2012,2018-08-10T16:03:00Z,2018-08-10T17:56:00Z,736,736,13.1,13,105.2,110.4,10.72,11.27,19,15,NA,NA,NA,NA,0,NA
14,74,2018-08-10,reyk,2,0.5,7,2017,2018-08-10T16:02:00Z,2018-08-10T17:56:00Z,736,736,12.5,12.7,104.9,111.8,10.83,11.49,19,3,NA,NA,NA,NA,0,NA
15,75,2018-08-10,reyk,2,0.5,10,2012,2018-08-10T16:06:00Z,2018-08-10T17:57:00Z,736,736,12.7,12.8,94.7,92.3,9.73,9.46,24.5,2,NA,NA,NA,NA,0,NA
1,76,2018-08-12,st33,3,0.5,0,2012,2018-08-12T15:17:00Z,2018-08-12T16:37:00Z,735.6,735.3,14.8,12.2,119.3,116.4,11.69,12.1,20,4,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
2,77,2018-08-12,st33,3,0.5,1,2017,2018-08-12T15:17:00Z,2018-08-12T16:37:00Z,735.6,735.3,16.1,12.1,120.6,115.7,11.5,12.04,20,21,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
3,78,2018-08-12,st33,3,0.5,3,2012,2018-08-12T15:20:00Z,2018-08-12T16:38:00Z,735.6,735.3,15.1,11.9,120.6,114.7,11.75,12.02,20,14,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
4,79,2018-08-12,st33,3,0.5,7,2017,2018-08-12T15:20:00Z,2018-08-12T16:40:00Z,735.6,735.3,14.7,11.7,123.6,121.2,12.17,12.72,20,7,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
5,80,2018-08-12,st33,3,0.5,10,2012,2018-08-12T15:23:00Z,2018-08-12T16:41:00Z,735.6,735.3,17.1,11.9,117.5,100.8,10.97,10.54,20,6,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
6,81,2018-08-12,st33,3,0.5,0,2017,2018-08-12T15:22:00Z,2018-08-12T16:42:00Z,735.6,735.3,14.5,11.7,121.8,117,12.03,12.28,20,6,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
7,82,2018-08-12,st33,3,0.5,1,2012,2018-08-12T15:25:00Z,2018-08-12T16:43:00Z,735.6,735.3,14.3,11.8,119,117.5,11.79,12.32,20,11,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
8,83,2018-08-12,st33,3,0.5,3,2017,2018-08-12T15:24:00Z,2018-08-12T16:44:00Z,735.6,735.3,15,11.8,123.4,119.7,12.07,12.53,20,49,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
9,84,2018-08-12,st33,3,0.5,7,2012,2018-08-12T15:27:00Z,2018-08-12T16:44:00Z,735.6,735.3,15,11.8,122.7,120.7,11.98,12.66,20,3,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
10,85,2018-08-12,st33,3,0.5,10,2017,2018-08-12T15:27:00Z,2018-08-12T16:46:00Z,735.6,735.3,15.1,11.7,118,105.1,11.49,11.03,20,5,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
11,86,2018-08-12,st33,3,0.5,0,2012,2018-08-12T15:34:00Z,2018-08-12T16:51:00Z,735.6,735.3,17.3,12.1,126.4,120.2,11.76,12.54,20,14,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
12,87,2018-08-12,st33,3,0.5,1,2017,2018-08-12T15:33:00Z,2018-08-12T16:51:00Z,735.6,735.3,15,12.1,120.2,117,11.74,12.17,20,32,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
13,88,2018-08-12,st33,1,0.5,3,2012,2018-08-12T15:36:00Z,2018-08-12T16:53:00Z,735.6,735.3,14.3,11.8,118.4,114.7,11.74,12.02,20,24,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
14,89,2018-08-12,st33,1,0.5,7,2017,2018-08-12T15:36:00Z,2018-08-12T16:52:00Z,735.6,735.3,15,11.7,113,111.2,11.03,11.65,20,9,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
15,90,2018-08-12,st33,1,0.5,10,2012,2018-08-12T15:37:00Z,2018-08-12T16:55:00Z,735.6,735.3,16.7,11.9,119.9,106.2,11.29,11.1,20,57,NA,NA,NA,NA,1,"column depth not taken, used average from BG on same day; incubated near KAL because bloom was too thick at ST33"
1,91,2019-07-22,e5,2,0.5,0,2017,2019-07-22T15:39:00Z,2019-07-22T17:51:00Z,732.7,732.7,12.9,12.8,99,101.4,10.08,10.34,15.5,NA,NA,NA,NA,NA,0,NA
2,92,2019-07-22,e5,2,0.5,1,2017,2019-07-22T15:42:00Z,2019-07-22T18:00:00Z,732.7,732.7,12.8,12.9,105.6,108.8,10.77,11.08,18.5,NA,NA,NA,NA,NA,0,NA
3,93,2019-07-22,e5,2,0.5,3,2017,2019-07-22T15:45:00Z,2019-07-22T18:09:00Z,732.7,732.7,12.7,12.8,106,108.5,10.82,11.08,21,NA,NA,NA,NA,NA,0,NA
4,94,2019-07-22,e5,2,0.5,7,2017,2019-07-22T15:49:00Z,2019-07-22T18:15:00Z,732.7,732.7,12.8,12.8,98.7,93.2,10.08,9.51,17.5,NA,NA,NA,NA,NA,0,NA
5,95,2019-07-22,e5,2,0.5,10,2017,2019-07-22T15:52:00Z,2019-07-22T18:22:00Z,732.7,732.7,12.7,12.7,99.6,90.6,10.19,9.26,19,NA,NA,NA,NA,NA,0,NA
6,96,2019-07-22,e5,2,0.5,0,2017,2019-07-22T15:58:00Z,2019-07-22T17:54:00Z,732.7,732.7,12.8,12.9,110.7,124.6,12.01,12.69,20,NA,NA,NA,NA,NA,0,NA
7,97,2019-07-22,e5,2,0.5,1,2017,2019-07-22T16:01:00Z,2019-07-22T18:04:00Z,732.7,732.7,12.8,13,111.2,113,11.35,11.48,18.5,NA,NA,NA,NA,NA,0,NA
8,98,2019-07-22,e5,2,0.5,3,2017,2019-07-22T16:07:00Z,2019-07-22T18:11:00Z,732.7,732.7,12.8,12.8,108,108.3,11.02,11.05,19,NA,NA,NA,NA,NA,0,NA
9,99,2019-07-22,e5,2,0.5,7,2017,2019-07-22T16:12:00Z,2019-07-22T18:19:00Z,732.7,732.7,12.8,12.7,97.6,91.7,9.96,9.38,19,NA,NA,NA,NA,NA,0,NA
10,100,2019-07-22,e5,2,0.5,10,2017,2019-07-22T16:15:00Z,2019-07-22T18:26:00Z,732.7,732.7,12.7,12.7,96.4,88,9.86,9,18.5,NA,NA,NA,NA,NA,0,NA
11,101,2019-07-22,e5,2,0.5,0,2017,2019-07-22T16:19:00Z,2019-07-22T17:58:00Z,732.7,732.7,12.8,12.9,113.4,120.1,11.58,12.23,19,NA,NA,NA,NA,NA,0,NA
12,102,2019-07-22,e5,2,0.5,1,2017,2019-07-22T16:05:00Z,2019-07-22T18:07:00Z,732.7,732.7,12.8,12.8,112.9,119.1,11.52,12.16,18,NA,NA,NA,NA,NA,0,NA
13,103,2019-07-22,e5,1,0.5,3,2017,2019-07-22T16:27:00Z,2019-07-22T18:33:00Z,732.7,732.7,12.8,12.9,112.9,116.4,11.52,11.85,18,NA,NA,NA,NA,NA,0,NA
14,104,2019-07-22,e5,1,0.5,7,2017,2019-07-22T16:30:00Z,2019-07-22T18:35:00Z,732.7,732.7,12.8,12.9,101.7,101.8,10.37,10.36,18.5,NA,NA,NA,NA,NA,0,NA
