sampledate,site,time,depth,par
2018-08-15,st33,2018-08-15T17:50:00Z,1.5,24
2018-08-15,st33,2018-08-15T17:50:00Z,2,15
2018-08-15,st33,2018-08-15T17:50:00Z,2.5,10
2018-08-15,st33,2018-08-15T17:50:00Z,3,6
2018-08-15,st33,2018-08-15T18:57:00Z,-0.05,222
2018-08-15,st33,2018-08-15T18:57:00Z,0.05,190
2018-08-15,st33,2018-08-15T18:57:00Z,0.5,100
2018-08-15,st33,2018-08-15T18:57:00Z,1,48
2018-08-15,st33,2018-08-15T18:57:00Z,1.5,27
2018-08-15,st33,2018-08-15T18:57:00Z,2,17
2018-08-15,st33,2018-08-15T18:57:00Z,2.5,11
2018-08-15,st33,2018-08-15T18:57:00Z,3,8
2018-08-15,st33,2018-08-15T22:00:00Z,-0.05,0
2018-08-15,st33,2018-08-15T22:00:00Z,0.05,0
2018-08-15,st33,2018-08-15T22:00:00Z,0.5,0
2018-08-15,st33,2018-08-15T22:00:00Z,1,0
2018-08-15,st33,2018-08-15T22:00:00Z,1.5,0
2018-08-15,st33,2018-08-15T22:00:00Z,2,0
2018-08-15,st33,2018-08-15T22:00:00Z,2.5,0
2018-08-15,st33,2018-08-15T22:00:00Z,3,0
2019-07-11,reyk,2019-07-11T09:45:00Z,0.05,351
2019-07-11,reyk,2019-07-11T09:45:00Z,0.5,118
2019-07-11,reyk,2019-07-11T09:45:00Z,1,42
2019-07-11,reyk,2019-07-11T09:45:00Z,1.5,20
2019-07-11,reyk,2019-07-11T09:45:00Z,2,15
2019-07-11,reyk,2019-07-11T14:14:00Z,0.05,381
2019-07-11,reyk,2019-07-11T14:14:00Z,0.5,155
2019-07-11,reyk,2019-07-11T14:13:59Z,1,65
2019-07-11,reyk,2019-07-11T14:13:59Z,1.5,30
2019-07-11,reyk,2019-07-11T14:13:59Z,2,15
2019-07-11,reyk,2019-07-11T14:13:59Z,2.5,10
2019-07-22,reyk,2019-07-22T15:33:00Z,0.05,110
2019-07-22,reyk,2019-07-22T15:33:00Z,0.5,70
2019-07-22,reyk,2019-07-22T15:33:00Z,1,40
2019-07-22,reyk,2019-07-22T15:33:00Z,1.5,20
2019-07-22,reyk,2019-07-22T15:33:00Z,2,11
2019-07-22,reyk,2019-07-22T15:33:00Z,2.5,6
2019-07-22,reyk,2019-07-22T18:36:00Z,0.05,91
2019-07-22,reyk,2019-07-22T18:36:00Z,0.5,47
2019-07-22,reyk,2019-07-22T18:36:00Z,1,24
2019-07-22,reyk,2019-07-22T18:36:00Z,1.5,20
2019-07-22,reyk,2019-07-22T18:36:00Z,2,12
2019-07-22,reyk,2019-07-22T15:49:00Z,0.05,170
2019-07-22,reyk,2019-07-22T15:49:00Z,0.5,110
2019-07-22,reyk,2019-07-22T15:49:00Z,1,58
2019-07-22,reyk,2019-07-22T15:49:00Z,1.5,32
2019-07-22,reyk,2019-07-22T15:49:00Z,2,20
2019-07-22,reyk,2019-07-22T15:49:00Z,2.5,11
2019-07-25,st33,2019-07-25T14:17:00Z,0.05,571
2019-07-25,st33,2019-07-25T14:17:00Z,0.5,473
2019-07-25,st33,2019-07-25T14:17:00Z,1,533
2019-07-25,st33,2019-07-25T15:36:00Z,0.05,375
2019-07-25,st33,2019-07-25T15:36:00Z,0.5,275
2019-07-25,st33,2019-07-25T15:36:00Z,1,173
2019-07-25,st33,2019-07-25T15:36:00Z,1.5,147
2019-07-25,st33,2019-07-25T15:36:00Z,2,120
2019-07-25,st33,2019-07-25T17:00:00Z,0.05,520
2019-07-25,st33,2019-07-25T17:00:00Z,0.5,437
2019-07-25,st33,2019-07-25T17:00:00Z,1,289
2019-07-25,st33,2019-07-25T17:00:00Z,1.5,270
2019-07-25,st33,2019-07-25T17:00:00Z,2,220
