Plot Title: plagic LG st.33 15aug18,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961)",End Of File (LGR S/N: 10349961),,
413,2018-08-15 14:52:00,14.804,269.1,,,
414,2018-08-15 14:53:00,14.804,247.6,,,
415,2018-08-15 14:54:00,14.804,279.9,,,
416,2018-08-15 14:55:00,14.709,376.7,,,
417,2018-08-15 14:56:00,14.709,484.4,,,
418,2018-08-15 14:57:00,14.709,505.9,,,
419,2018-08-15 14:58:00,14.709,549,,,
420,2018-08-15 14:59:00,14.709,430.6,,,
421,2018-08-15 15:00:00,14.709,398.3,,,
422,2018-08-15 15:01:00,14.709,387.5,,,
423,2018-08-15 15:02:00,14.709,398.3,,,
424,2018-08-15 15:03:00,14.613,387.5,,,
425,2018-08-15 15:04:00,14.613,419.8,,,
426,2018-08-15 15:05:00,14.613,441.3,,,
427,2018-08-15 15:06:00,14.613,430.6,,,
428,2018-08-15 15:07:00,14.613,4822.3,,,
429,2018-08-15 15:08:00,14.613,2152.8,,,
430,2018-08-15 15:09:00,14.613,1808.3,,,
431,2018-08-15 15:10:00,14.613,2152.8,,,
432,2018-08-15 15:11:00,14.613,2066.7,,,
433,2018-08-15 15:12:00,14.613,1980.6,,,
434,2018-08-15 15:13:00,14.517,2152.8,,,
435,2018-08-15 15:14:00,14.517,1463.9,,,
436,2018-08-15 15:15:00,14.517,1463.9,,,
437,2018-08-15 15:16:00,14.517,1550,,,
438,2018-08-15 15:17:00,14.517,1722.2,,,
439,2018-08-15 15:18:00,14.517,1894.5,,,
440,2018-08-15 15:19:00,14.517,1980.6,,,
441,2018-08-15 15:20:00,14.517,2152.8,,,
442,2018-08-15 15:21:00,14.517,2238.9,,,
443,2018-08-15 15:22:00,14.613,2238.9,,,
444,2018-08-15 15:23:00,14.613,2411.1,,,
445,2018-08-15 15:24:00,14.613,2411.1,,,
446,2018-08-15 15:25:00,14.613,2411.1,,,
447,2018-08-15 15:26:00,14.613,2411.1,,,
448,2018-08-15 15:27:00,14.613,2238.9,,,
449,2018-08-15 15:28:00,14.613,1980.6,,,
450,2018-08-15 15:29:00,14.613,1722.2,,,
451,2018-08-15 15:30:00,14.613,1636.1,,,
452,2018-08-15 15:31:00,14.613,1636.1,,,
453,2018-08-15 15:32:00,14.709,1463.9,,,
454,2018-08-15 15:33:00,14.613,1550,,,
455,2018-08-15 15:34:00,14.613,1334.7,,,
456,2018-08-15 15:35:00,14.613,1636.1,,,
457,2018-08-15 15:36:00,14.613,1722.2,,,
458,2018-08-15 15:37:00,14.613,1636.1,,,
459,2018-08-15 15:38:00,14.613,1377.8,,,
460,2018-08-15 15:39:00,14.613,1463.9,,,
461,2018-08-15 15:40:00,14.613,1377.8,,,
462,2018-08-15 15:41:00,14.613,1377.8,,,
463,2018-08-15 15:42:00,14.613,1463.9,,,
